sourceNeuron;targetNeuron;w
7;2;-0.6458497047424316
7;11;0.24779656529426575
7;20;-0.057577863335609436
7;29;0.08910726755857468
7;38;-0.34744027256965637
7;47;-0.029870230704545975
7;56;0.008031423203647137
7;65;-0.3257092535495758
7;3;-0.4434586465358734
7;12;-0.49205541610717773
7;21;-0.4547809362411499
7;30;0.03805860877037048
7;39;0.08373167365789413
7;48;-0.13635492324829102
7;57;0.06562218070030212
7;66;0.4050241708755493
7;4;0.09812726825475693
7;13;0.3749452531337738
7;22;0.01401757262647152
7;31;-0.09962142258882523
7;40;0.20503351092338562
7;49;-0.20053614675998688
7;58;-1.4946043491363525
7;67;0.6863235831260681
7;5;-0.12183158099651337
7;14;0.24812664091587067
7;23;0.21465706825256348
7;32;0.0942857414484024
7;41;0.23685841262340546
7;50;-0.2395172119140625
7;59;0.40147334337234497
7;68;0.17215222120285034
8;1;0.40766245126724243
8;10;0.016026906669139862
8;19;0.47640225291252136
8;28;-0.1975979506969452
8;37;-0.08302116394042969
8;46;-0.7541444301605225
8;55;-0.2827000021934509
8;64;0.6315658688545227
8;2;-0.12136081606149673
8;11;-0.010594380088150501
8;20;-0.02380470000207424
8;29;-0.21156828105449677
8;38;0.28398364782333374
8;47;0.07610068470239639
8;56;0.09002327173948288
8;65;0.0893876776099205
8;4;-0.4434586465358734
8;13;-0.49205541610717773
8;22;-0.4547809362411499
8;31;0.03805860877037048
8;40;0.08373167365789413
8;49;-0.13635492324829102
8;58;0.06562218070030212
8;67;0.4050241708755493
8;5;0.09812726825475693
8;14;0.3749452531337738
8;23;0.01401757262647152
8;32;-0.09962142258882523
8;41;0.20503351092338562
8;50;-0.20053614675998688
8;59;-1.4946043491363525
8;68;0.6863235831260681
9;2;0.40766245126724243
9;11;0.016026906669139862
9;20;0.47640225291252136
9;29;-0.1975979506969452
9;38;-0.08302116394042969
9;47;-0.7541444301605225
9;56;-0.2827000021934509
9;65;0.6315658688545227
9;5;-0.4434586465358734
9;14;-0.49205541610717773
9;23;-0.4547809362411499
9;32;0.03805860877037048
9;41;0.08373167365789413
9;50;-0.13635492324829102
9;59;0.06562218070030212
9;68;0.4050241708755493
10;0;0.06427519023418427
10;9;-0.30531981587409973
10;18;-0.14318282902240753
10;27;-0.15706171095371246
10;36;0.3695352375507355
10;45;-0.7147053480148315
10;54;-0.29288923740386963
10;63;0.0943693220615387
10;3;-0.6458497047424316
10;12;0.24779656529426575
10;21;-0.057577863335609436
10;30;0.08910726755857468
10;39;-0.34744027256965637
10;48;-0.029870230704545975
10;57;0.008031423203647137
10;66;-0.3257092535495758
10;6;-0.12183158099651337
10;15;0.24812664091587067
10;24;0.21465706825256348
10;33;0.0942857414484024
10;42;0.23685841262340546
10;51;-0.2395172119140625
10;60;0.40147334337234497
10;69;0.17215222120285034
11;0;-0.010312197729945183
11;9;0.8144087791442871
11;18;0.3271990716457367
11;27;-0.158585324883461
11;36;0.24543225765228271
11;45;-0.07640551775693893
11;54;0.19777768850326538
11;63;0.09497097879648209
11;1;0.06427519023418427
11;10;-0.30531981587409973
11;19;-0.14318282902240753
11;28;-0.15706171095371246
11;37;0.3695352375507355
11;46;-0.7147053480148315
11;55;-0.29288923740386963
11;64;0.0943693220615387
11;3;-0.12136081606149673
11;12;-0.010594380088150501
11;21;-0.02380470000207424
11;30;-0.21156828105449677
11;39;0.28398364782333374
11;48;0.07610068470239639
11;57;0.09002327173948288
11;66;0.0893876776099205
11;4;-0.6458497047424316
11;13;0.24779656529426575
11;22;-0.057577863335609436
11;31;0.08910726755857468
11;40;-0.34744027256965637
11;49;-0.029870230704545975
11;58;0.008031423203647137
11;67;-0.3257092535495758
11;6;0.09812726825475693
11;15;0.3749452531337738
11;24;0.01401757262647152
11;33;-0.09962142258882523
11;42;0.20503351092338562
11;51;-0.20053614675998688
11;60;-1.4946043491363525
11;69;0.6863235831260681
11;7;-0.12183158099651337
11;16;0.24812664091587067
11;25;0.21465706825256348
11;34;0.0942857414484024
11;43;0.23685841262340546
11;52;-0.2395172119140625
11;61;0.40147334337234497
11;70;0.17215222120285034
12;0;0.37006697058677673
12;9;-0.6948227882385254
12;18;-0.6061433553695679
12;27;0.17318984866142273
12;36;-0.2768089771270752
12;45;-0.14691463112831116
12;54;-0.05554672330617905
12;63;-0.4648934304714203
12;1;-0.010312197729945183
12;10;0.8144087791442871
12;19;0.3271990716457367
12;28;-0.158585324883461
12;37;0.24543225765228271
12;46;-0.07640551775693893
12;55;0.19777768850326538
12;64;0.09497097879648209
12;2;0.06427519023418427
12;11;-0.30531981587409973
12;20;-0.14318282902240753
12;29;-0.15706171095371246
12;38;0.3695352375507355
12;47;-0.7147053480148315
12;56;-0.29288923740386963
12;65;0.0943693220615387
12;3;0.40766245126724243
12;12;0.016026906669139862
12;21;0.47640225291252136
12;30;-0.1975979506969452
12;39;-0.08302116394042969
12;48;-0.7541444301605225
12;57;-0.2827000021934509
12;66;0.6315658688545227
12;4;-0.12136081606149673
12;13;-0.010594380088150501
12;22;-0.02380470000207424
12;31;-0.21156828105449677
12;40;0.28398364782333374
12;49;0.07610068470239639
12;58;0.09002327173948288
12;67;0.0893876776099205
12;5;-0.6458497047424316
12;14;0.24779656529426575
12;23;-0.057577863335609436
12;32;0.08910726755857468
12;41;-0.34744027256965637
12;50;-0.029870230704545975
12;59;0.008031423203647137
12;68;-0.3257092535495758
12;6;-0.4434586465358734
12;15;-0.49205541610717773
12;24;-0.4547809362411499
12;33;0.03805860877037048
12;42;0.08373167365789413
12;51;-0.13635492324829102
12;60;0.06562218070030212
12;69;0.4050241708755493
12;7;0.09812726825475693
12;16;0.3749452531337738
12;25;0.01401757262647152
12;34;-0.09962142258882523
12;43;0.20503351092338562
12;52;-0.20053614675998688
12;61;-1.4946043491363525
12;70;0.6863235831260681
12;8;-0.12183158099651337
12;17;0.24812664091587067
12;26;0.21465706825256348
12;35;0.0942857414484024
12;44;0.23685841262340546
12;53;-0.2395172119140625
12;62;0.40147334337234497
12;71;0.17215222120285034
13;1;0.37006697058677673
13;10;-0.6948227882385254
13;19;-0.6061433553695679
13;28;0.17318984866142273
13;37;-0.2768089771270752
13;46;-0.14691463112831116
13;55;-0.05554672330617905
13;64;-0.4648934304714203
13;2;-0.010312197729945183
13;11;0.8144087791442871
13;20;0.3271990716457367
13;29;-0.158585324883461
13;38;0.24543225765228271
13;47;-0.07640551775693893
13;56;0.19777768850326538
13;65;0.09497097879648209
13;4;0.40766245126724243
13;13;0.016026906669139862
13;22;0.47640225291252136
13;31;-0.1975979506969452
13;40;-0.08302116394042969
13;49;-0.7541444301605225
13;58;-0.2827000021934509
13;67;0.6315658688545227
13;5;-0.12136081606149673
13;14;-0.010594380088150501
13;23;-0.02380470000207424
13;32;-0.21156828105449677
13;41;0.28398364782333374
13;50;0.07610068470239639
13;59;0.09002327173948288
13;68;0.0893876776099205
13;7;-0.4434586465358734
13;16;-0.49205541610717773
13;25;-0.4547809362411499
13;34;0.03805860877037048
13;43;0.08373167365789413
13;52;-0.13635492324829102
13;61;0.06562218070030212
13;70;0.4050241708755493
13;8;0.09812726825475693
13;17;0.3749452531337738
13;26;0.01401757262647152
13;35;-0.09962142258882523
