sourceNeuron;targetNeuron;w
66;1;-0.06413349
66;2;-0.21597376
66;3;-0.64558965
67;0;0.034087837
67;1;0.12574065
67;2;0.22888908
67;3;0.17074871
68;0;-0.24768768
68;1;-0.0015226
68;2;-0.048054174
68;3;0.027197674
69;0;0.118498445
69;1;-0.114172176
69;2;-0.09178813
69;3;-0.06235622
70;0;-0.31181923
70;1;0.4164746
70;2;0.6168652
70;3;0.45002538
71;0;0.36990786
71;1;0.13096787
71;2;0.54393137
71;3;0.9381436
